,year,month,rank,category,title,author,price,star_score,page_count,item_id
245,2020,5,47,국내도서,1cm 다이빙,태수,12150,8.3,0,228695400
246,2020,5,48,국내도서,만화 인소의 법칙 1 (함단이 캐릭터 키링 + 단이&여령 트래블 스티커 4종 세트 + 인소의 법칙 노트 포함 한정판),아현,25200,10.0,0,241390234
247,2020,5,49,국내도서,흔한남매 안 흔한 일기 2,흔한남매,12600,9.6,0,240507720
248,2020,5,50,국내도서,큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 하,최태성,13050,9.6,0,229319394
249,2020,6,1,국내도서,더 해빙,이서윤,14400,8.2,0,234004429
250,2020,6,2,국내도서,돈의 속성,김승호,15120,8.7,0,241916428
251,2020,6,3,국내도서,"시선으로부터,",정세랑,12600,8.7,0,241313700
252,2020,6,4,국내도서,애쓰지 않고 편안하게,김수현,13500,9.4,0,240541088
253,2020,6,5,국내도서,보통의 언어들,김이나,13050,8.2,0,240886101
254,2020,6,6,국내도서,설민석의 한국사 대모험 14,설민석,10800,9.8,0,242583398
255,2020,6,7,국내도서,흔한남매 5,흔한남매,10800,10.0,0,243077303
256,2020,6,8,국내도서,2020 제11회 젊은작가상 수상작품집,강화길,4950,7.4,0,236899205
257,2020,6,9,국내도서,원피스 96,오다 에이치로,4500,9.3,0,243534838
258,2020,6,10,국내도서,룬의 아이들 - 데모닉 1~9 세트 - 전9권,전민희,117900,10.0,0,242584741
259,2020,6,11,국내도서,지박소년 하나코 군 9,아이다이로,4950,9.4,0,243107393
260,2020,6,12,국내도서,화이트 호스,강화길,15120,8.3,0,241918742
261,2020,6,13,국내도서,읽기만 하면 내 것이 되는 1페이지 한국사 365,심용환,14850,9.4,0,242450209
262,2020,6,14,국내도서,최초의 신화 길가메쉬 서사시 (리커버 개정판),김산해,27000,8.7,0,241467665
263,2020,6,15,국내도서,코로나 이후의 세계,제이슨 솅커,13320,8.6,0,240345812
264,2020,6,16,국내도서,"소년이 온다 (특별한정판, 양장)",한강,11700,9.4,0,239400216
265,2020,6,17,국내도서,철도원 삼대,황석영,18000,9.3,0,240581875
266,2020,6,18,국내도서,김미경의 리부트,김미경,14400,7.9,0,243258385
267,2020,6,19,국내도서,코로나 사피엔스,최재천,13500,7.9,0,241472323
268,2020,6,20,국내도서,오래 준비해온 대답,김영하,15750,8.6,0,238162190
269,2020,6,21,국내도서,코로나 투자 전쟁,정채진,15120,8.6,0,240349013
270,2020,6,22,국내도서,이야기의 탄생,윌 스토,16920,9.0,0,240515272
271,2020,6,23,국내도서,"파타고니아, 파도가 칠 때는 서핑을",이본 쉬나드,17820,8.8,0,238279310
272,2020,6,24,국내도서,까면서 보는 해부학 만화,압듈라,16650,9.3,0,242242096
273,2020,6,25,국내도서,사람에 대한 예의,권석천,13500,8.1,0,241473196
274,2020,6,26,국내도서,일곱 해의 마지막,김연수,13500,9.1,0,242925601
275,2020,6,27,국내도서,푸름아빠 거울육아,최희수,15120,9.1,0,241937832
276,2020,6,28,국내도서,해커스 토익 기출 VOCA (보카),David Cho,11610,9.2,0,176021392
